學號,原始學院,轉系後學院
411074002,藝術學院,人文社會科學學院
411202006,人文社會科學學院,人文社會科學學院
411203007,人文社會科學學院,人文社會科學學院
411298001,原住民民族學院,人文社會科學學院
41103A033,管理學院,人文社會科學學院
41123A026,管理學院,人文社會科學學院
411201009,人文社會科學學院,人文社會科學學院
41124B009,人文社會科學學院,人文社會科學學院
411142031,人文社會科學學院,人文社會科學學院
411296004,原住民民族學院,人文社會科學學院
41113A029,管理學院,人文社會科學學院
411001014,人文社會科學學院,人文社會科學學院
411201001,人文社會科學學院,人文社會科學學院
411201019,人文社會科學學院,人文社會科學學院
41127B020,洄瀾學院,人文社會科學學院
41127B021,洄瀾學院,人文社會科學學院
410933021,管理學院,人文社會科學學院
411021244,理工學院,人文社會科學學院
411173013,藝術學院,人文社會科學學院
411188005,花師教育學院,人文社會科學學院
411296027,原住民民族學院,人文社會科學學院
41120A045,人文社會科學學院,人文社會科學學院
411101032,人文社會科學學院,人文社會科學學院
411202028,人文社會科學學院,人文社會科學學院
41120A042,人文社會科學學院,人文社會科學學院
411021241,理工學院,人文社會科學學院
411033039,管理學院,人文社會科學學院
411113020,理工學院,人文社會科學學院
410914271,理工學院,花師教育學院
411189076,花師教育學院,花師教育學院
411235045,管理學院,花師教育學院
41120A039,人文社會科學學院,洄瀾學院
411096076,原住民民族學院,原住民民族學院
411298011,原住民民族學院,原住民民族學院
41114B006,人文社會科學學院,原住民民族學院
411111328,理工學院,理工學院
411122036,理工學院,理工學院
41127B012,洄瀾學院,理工學院
411012038,理工學院,理工學院
411214205,理工學院,理工學院
411114229,理工學院,理工學院
411223048,理工學院,理工學院
411223051,理工學院,理工學院
411223052,理工學院,理工學院
411223053,理工學院,理工學院
411223054,理工學院,理工學院
410921301,理工學院,理工學院
410921379,理工學院,理工學院
411212041,理工學院,理工學院
411214203,理工學院,理工學院
411221302,理工學院,理工學院
411221303,理工學院,理工學院
411221309,理工學院,理工學院
411221310,理工學院,理工學院
411221313,理工學院,理工學院
411221314,理工學院,理工學院
411221315,理工學院,理工學院
411221320,理工學院,理工學院
411223078,理工學院,理工學院
411225029,理工學院,理工學院
411254044,環境暨海洋學院,理工學院
411274054,藝術學院,理工學院
411283051,人文社會科學學院,理工學院
411214223,理工學院,理工學院
411222061,理工學院,理工學院
411225039,理工學院,理工學院
411254016,環境暨海洋學院,理工學院
410913073,理工學院,管理學院
411014230,理工學院,管理學院
411134034,管理學院,管理學院
411236047,管理學院,管理學院
41107A021,人文社會科學學院,管理學院
41110A035,人文社會科學學院,管理學院
411123041,理工學院,管理學院
411142071,人文社會科學學院,管理學院
411188015,花師教育學院,管理學院
411202035,人文社會科學學院,管理學院
411233006,管理學院,管理學院
41114C036,人文社會科學學院,管理學院
41110A012,人文社會科學學院,管理學院
41113A016,管理學院,管理學院
41113A017,管理學院,管理學院
411142017,人文社會科學學院,管理學院
411188041,花師教育學院,管理學院
411212002,理工學院,管理學院
41083A020,管理學院,管理學院
41110A074,人文社會科學學院,管理學院
41114C075,人文社會科學學院,管理學院
41117B034,藝術學院,管理學院
41120A018,人文社會科學學院,管理學院
41123B023,管理學院,管理學院
411133034,管理學院,環境暨海洋學院
411136031,管理學院,環境暨海洋學院
411174047,藝術學院,環境暨海洋學院
411292009,原住民民族學院,環境暨海洋學院
411299023,原住民民族學院,環境暨海洋學院
41127B017,洄瀾學院,環境暨海洋學院
41120A004,人文社會科學學院,藝術學院
411075009,藝術學院,藝術學院
411075027,藝術學院,藝術學院
411111205,理工學院,藝術學院
411202008,人文社會科學學院,藝術學院
411285040,花師教育學院,藝術學院
