學號,原始學院,轉系後學院
411286004,花師教育學院,人文社會科學學院
41113A009,管理學院,人文社會科學學院
411234049,管理學院,人文社會科學學院
41124C026,人文社會科學學院,人文社會科學學院
41124C033,人文社會科學學院,人文社會科學學院
41127B010,洄瀾學院,人文社會科學學院
411285034,花師教育學院,人文社會科學學院
41120A009,人文社會科學學院,人文社會科學學院
411011332,理工學院,人文社會科學學院
411035042,管理學院,人文社會科學學院
41113A028,管理學院,人文社會科學學院
411175029,藝術學院,人文社會科學學院
411135017,管理學院,人文社會科學學院
411233016,管理學院,人文社會科學學院
411285001,花師教育學院,人文社會科學學院
411111319,理工學院,人文社會科學學院
411296031,原住民民族學院,人文社會科學學院
411054038,環境暨海洋學院,人文社會科學學院
41124F017,人文社會科學學院,人文社會科學學院
41127B002,洄瀾學院,人文社會科學學院
411098017,原住民民族學院,人文社會科學學院
411202027,人文社會科學學院,人文社會科學學院
411203001,人文社會科學學院,人文社會科學學院
411111327,理工學院,花師教育學院
411292011,原住民民族學院,花師教育學院
41119A012,原住民民族學院,花師教育學院
411199072,原住民民族學院,原住民民族學院
411012052,理工學院,理工學院
411212044,理工學院,理工學院
411254050,環境暨海洋學院,理工學院
411114309,理工學院,理工學院
411214329,理工學院,理工學院
411211227,理工學院,理工學院
411235059,管理學院,理工學院
4111213A4,理工學院,理工學院
4111213A5,理工學院,理工學院
411136058,管理學院,理工學院
411211330,理工學院,理工學院
411214232,理工學院,理工學院
411221305,理工學院,理工學院
411221308,理工學院,理工學院
411225032,理工學院,理工學院
411235032,管理學院,理工學院
411223036,理工學院,理工學院
411235013,管理學院,理工學院
411214237,理工學院,理工學院
411222017,理工學院,理工學院
411225033,理工學院,理工學院
411134051,管理學院,理工學院
41124B008,人文社會科學學院,管理學院
41127B014,洄瀾學院,管理學院
411021242,理工學院,管理學院
411101071,人文社會科學學院,管理學院
411232031,管理學院,管理學院
411233002,管理學院,管理學院
411233013,管理學院,管理學院
411242005,人文社會科學學院,管理學院
411299001,原住民民族學院,管理學院
41123B026,管理學院,管理學院
41097A010,理工學院,管理學院
411188025,花師教育學院,管理學院
41113A019,管理學院,管理學院
41123A008,管理學院,管理學院
41123A052,管理學院,管理學院
41124B018,人文社會科學學院,管理學院
411232004,管理學院,管理學院
411232008,管理學院,管理學院
411232044,管理學院,管理學院
411242030,人文社會科學學院,管理學院
411011372,理工學院,管理學院
411112056,理工學院,管理學院
411211304,理工學院,管理學院
411232015,管理學院,管理學院
411233048,管理學院,管理學院
411233004,管理學院,管理學院
411275035,藝術學院,管理學院
411236036,管理學院,管理學院
411111311,理工學院,藝術學院
41127B023,洄瀾學院,藝術學院
41127B031,洄瀾學院,藝術學院
